"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
SHYAMCENT,Shyam Century Ferrous Limited,7(2),Bhawna Agarwal,Promoter Group,Equity Shares,1111696,0.52,,25000,438750,Sell,Equity Shares,1086696,0.51,06-Jun-24,06-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 16:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165560_1156101_11062024043047_WEB.xml
SYNGENE,Syngene International Limited,7(2),SRIDEVI KHAMBHAMPATY,Employees/Designated Employees,Equity Shares,3411,0,,1211,825902,Sell,Equity Shares,2200,0,06-Jun-24,06-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 16:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165558_1156085_11062024041903_WEB.xml
SYNGENE,Syngene International Limited,7(2),SRIDEVI KHAMBHAMPATY,Employees/Designated Employees,Equity Shares,4411,0,,1000,677040,Sell,Equity Shares,3411,0,06-Jun-24,06-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,BSE,-,11-06-2024 16:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165558_1156085_11062024041903_WEB.xml
PASHUPATI,Pashupati Cotspin Limited,7(2),PASHUPATI TEXSPIN EXPORT LLP( Formerly known as Shree Pashupati Fabric LLP),Employees/Designated Employees,Equity Shares,952800,6.23,,68800,20533360,Sell,Equity Shares,884000,5.78,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 16:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165557_1156066_11062024040756_WEB.xml
TDPOWERSYS,TD Power Systems Limited,7(2),A Ganesha,-,Equity Shares,14299,0.01,,4000,1362227,Sell,Equity Shares,10299,0,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,BSE,-,11-06-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165555_1156063_11062024040613_WEB.xml
TDPOWERSYS,TD Power Systems Limited,7(2),S Prabhamani,Director,Equity Shares,293130,0.18,,10000,3257384,Sell,Equity Shares,283130,0,06-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165555_1156063_11062024040613_WEB.xml
PASHUPATI,Pashupati Cotspin Limited,7(2),PASHUPATI TEXSPIN EXPORT LLP( Formerly known as Shree Pashupati Fabric LLP),Promoter Group,Equity Shares,1022400,6.69,,69600,19723568,Sell,Equity Shares,952800,6.23,07-Jun-24,07-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 15:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165553_1156053_11062024035612_WEB.xml
CHALET,Chalet Hotels Limited,7(2),Urvi Aradhya,Employees/Designated Employees,Equity Shares,10383,0,,2500,2015000,Sell,Equity Shares,7883,0,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 15:54,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165551_1156050_11062024035450_WEB.xml
KPITTECH,KPIT Technologies Limited,7(2),KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST,Other,Equity Shares,2851409,1.04,,22650,226500,Sell,Equity Shares,2828759,1.03,06-Jun-24,06-Jun-24,07-Jun-24,ESOP,-,-,0,0,0,0,NA,-,11-06-2024 15:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165547_1156006_11062024030002_WEB.xml
KCEIL,Kay Cee Energy & Infra Limited,7(2),LOKEDNRA JAIN,Promoters,Equity Shares,7561000,68.99,,11000,2487150,Buy,Equity Shares,7572000,69.09,10-Jun-24,10-Jun-24,11-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,11-06-2024 14:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165545_1155991_11062024024446_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Pradeep Kumar Singh,Employees/Designated Employees,Equity Shares,8000,0.01,,2000,3777667,Sell,Equity Shares,6000,0.01,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 14:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165543_1155972_11062024020957_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Mitesh Kothari,Employees/Designated Employees,Equity Shares,840,0,,540,998623,Sell,Equity Shares,300,0,07-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 14:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165543_1155972_11062024020957_WEB.xml
TREL,Transindia Real Estate Limited,7(2),Shashikiran Shetty,Promoters,Equity Shares,150559915,61.28,,265814,10630698,Sell,Equity Shares,150294101,61.17,07-Jun-24,07-Jun-24,07-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 13:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165541_1155959_11062024013833_WEB.xml
DLINKINDIA,D-Link (India) Limited,7(2),MUKESH TIRTHDAS LULLA,Director,Equity Shares,2464777,6.94,,56924,25399195,Sell,Equity Shares,2407853,6.78,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 13:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165539_1155948_11062024011107_WEB.xml
KANANIIND,Kanani Industries Limited,7(2),HARSHIL PREMJIBHAI KANANI,Promoters,Equity Shares,95304294,48.17,,4800000,15636451,Sell,Equity Shares,90504294,45.74,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 13:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165537_1155945_11062024010434_WEB.xml
GREAVESCOT,Greaves Cotton Limited,7(2),NAGESH BASAVANHALLI,Director,Equity Shares,300700,0.13,,150000,19249500,Sell,Equity Shares,150700,0.06,10-Jun-24,10-Jun-24,11-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 12:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165535_1155925_11062024123324_WEB.xml
KSCL,Kaveri Seed Company Limited,7(3),Kaveri Employees Trust sold on behalf of Employees,-,Equity Shares,75030,0.15,,75030,71239908,Sell,Equity Shares,Nil,0,07-Jun-24,07-Jun-24,10-Jun-24,ESOP,-,-,0,0,0,0,NSE,-,11-06-2024 12:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165533_1155919_11062024122656_WEB.xml
KSCL,Kaveri Seed Company Limited,7(3),Kaveri Employees Trust,-,Equity Shares,641521,1.25,,75030,71239908,Sell,Equity Shares,566491,1.1,07-Jun-24,07-Jun-24,10-Jun-24,ESOP,-,-,0,0,0,0,NSE,-,11-06-2024 12:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165533_1155919_11062024122656_WEB.xml
SWSOLAR,Sterling and Wilson Renewable Energy Limited,7(2),Kainaz Khurshed Daruvala,Promoter Group,Equity Shares,13000200,5.57,,280000,202300000,Pledge,Equity Shares,13000200,5.57,07-Jun-24,07-Jun-24,10-Jun-24,Pledge Creation,-,-,0,0,0,0,NA,-,11-06-2024 11:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165530_1155892_11062024114516_WEB.xml
SERVOTECH,Servotech Power Systems Limited,7(2),RAMAN BHATIA,Promoters,Equity Shares,67056900,30.08,,100,8430,Buy,Equity Shares,67057000,30.08,10-Jun-24,10-Jun-24,11-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,11-06-2024 11:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165528_1155879_11062024113030_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),PARVATHA LEELAVATHI REDDY,Promoters,Equity Shares,721712,2.35,,200000,0,Buy,Equity Shares,921712,3,08-Jun-24,08-Jun-24,08-Jun-24,Gift,-,-,0,0,0,0,NA,-,11-06-2024 11:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165527_1155865_11062024111005_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),SARANYA LOKA REDDY,Promoters,Equity Shares,799666,2.59,,200000,0,Sell,Equity Shares,599666,1.95,08-Jun-24,08-Jun-24,08-Jun-24,Gift,-,-,0,0,0,0,NA,-,11-06-2024 11:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165527_1155865_11062024111005_WEB.xml
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Prakash Nayak,-,Equity Shares,91155,0,,3000,5250000,Sell,Equity Shares,88155,0,06-Jun-24,06-Jun-24,10-Jun-24,Gift,-,-,0,0,0,0,NA,-,11-06-2024 10:54,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165525_1155860_11062024105426_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),SARANYA LOKA REDDY,Promoters,Equity Shares,989666,3.22,,190000,326021814,Sell,Equity Shares,799666,2.59,06-Jun-24,06-Jun-24,07-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 10:39,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165523_1155853_11062024103919_WEB.xml
MPHASIS,MphasiS Limited,7(2),BCP TOPCO IX PTE LTD,Promoters,Equity Shares,104799642,55.44,,28500000,66798798446,Sell,Equity Shares,76299642,40.37,10-Jun-24,10-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,11-06-2024 10:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165521_1155849_11062024103435_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),A. Pramod Kumar,Employees/Designated Employees,Equity Shares,178504,0.05,,13200,10521720,Sell,Equity Shares,165304,0.05,10-Jun-24,10-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Abhishek Shah,Employees/Designated Employees,Equity Shares,110669,0.03,,6669,5334066,Sell,Equity Shares,104000,0.03,06-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Prabhjot Cheema,Employees/Designated Employees,Equity Shares,109856,0.03,,2000,1570000,Sell,Equity Shares,107856,0.03,06-Jun-24,06-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Girish Venkataraman,Employees/Designated Employees,Equity Shares,738793,0.2,,31045,24971977,Sell,Equity Shares,707748,0.2,10-Jun-24,10-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Girish Venkataraman,Employees/Designated Employees,Equity Shares,762748,0.21,,23955,19164000,Sell,Equity Shares,738793,0.2,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Abhishek Shah,Employees/Designated Employees,Equity Shares,104000,0.03,,5090,4122849,Sell,Equity Shares,98910,0.03,10-Jun-24,10-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Pawan Mundhra,Employees/Designated Employees,Equity Shares,158860,0.04,,6600,5273400,Sell,Equity Shares,152260,0.04,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 22:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml
MARCO,Marco Cables & Conductors Limited,7(2),MANJU SUGNOMAL KUKREJA,Promoter Group,Equity Shares,802500,4.29,,33000,1039421,Buy,Equity Shares,835500,4.47,04-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 22:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165517_1155827_10062024101845_WEB.xml
MARCO,Marco Cables & Conductors Limited,7(2),Marco Cables & Conductors Limited,Promoter Group,Equity Shares,802500,4.29,,33000,1039421,Buy,Equity Shares,835500,4.47,04-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 22:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165515_1155824_10062024100743_WEB.xml
EDELWEISS,Edelweiss Financial Services Limited,7(2),Amit Agarwal,Employees/Designated Employees,Equity Shares,230000,0.02,,20000,1322484,Buy,Equity Shares,250000,0.03,04-Jun-24,04-Jun-24,06-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 20:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165512_1155789_10062024080851_WEB.xml
CYIENT,Cyient Limited,7(2),Karthikeyan Natarajan,-,Equity Shares,112870,0.1,,15000,28810000,Sell,Equity Shares,97870,0.09,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 20:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165511_1155784_10062024080755_WEB.xml
CYIENT,Cyient Limited,7(2),Andrew Neilson Smith,-,Equity Shares,4254,0,,4254,7104890,Sell,Equity Shares,Nil,0,04-Jun-24,04-Jun-24,06-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 20:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165511_1155784_10062024080755_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),LEELAVATHI PARVATHA REDDY,Promoters,Equity Shares,921712,3,,100000,0,Buy,Equity Shares,1021712,3.32,08-Jun-24,08-Jun-24,08-Jun-24,Gift,-,-,0,0,0,0,NA,-,10-06-2024 19:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165507_1155770_10062024074631_WEB.xml
MTARTECH,Mtar Technologies Limited,7(2),P KALPANA REDDY,Promoters,Equity Shares,974000,3.17,,100000,0,Sell,Equity Shares,874000,2.84,08-Jun-24,08-Jun-24,08-Jun-24,Gift,-,-,0,0,0,0,NA,-,10-06-2024 19:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165507_1155770_10062024074631_WEB.xml
MADHAV,Madhav Marbles and Granites Limited,7(2),MADHAV DOSHI,Director,Equity Shares,958517,10.71,,2070,88915,Buy,Equity Shares,960587,10.73,05-Jun-24,06-Jun-24,07-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 19:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165505_1155767_10062024074041_WEB.xml
LANDMARK,Landmark Cars Limited,7(2),Garima Misra,Employees/Designated Employees,Equity Shares,798065,1.93,,100000,68803978,Sell,Equity Shares,698065,1.69,06-Jun-24,06-Jun-24,06-Jun-24,Market Sale,-,-,0,0,0,0,BSE,-,10-06-2024 19:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165503_1155762_10062024073043_WEB.xml
LANDMARK,Landmark Cars Limited,7(2),Harshal Desai,Employees/Designated Employees,Equity Shares,25254,0.06,,1608,1063625,Sell,Equity Shares,23646,0.06,04-Jun-24,04-Jun-24,06-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 19:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165503_1155762_10062024073043_WEB.xml
CHOICEIN,Choice International Limited,7(2),Rupang Properties Private Limited,Promoter Group,Warrants,Nil,0,,3121000,936300000,Buy,Warrants,3121000,1.4,06-Jun-24,06-Jun-24,10-Jun-24,Preferential Offer,-,-,0,0,0,0,NA,-,10-06-2024 19:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165500_1155754_10062024072004_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Mr. Rasesh Joshi,Employees/Designated Employees,Equity Shares,3735,0,,1735,4760840,Sell,Equity Shares,2000,0,07-Jun-24,07-Jun-24,09-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 19:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165497_1155751_10062024071836_WEB.xml
ALICON,Alicon Castalloy Limited,7(2),Rajeev Sikand,Key Managerial Personnel,Equity Shares,558638,3.46,,100000,500000,Buy,Equity Shares,658638,4.08,31-May-24,31-May-24,07-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 19:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165490_1155727_10062024070108_WEB.xml
JAYAGROGN,Jayant Agro Organics Limited,7(2),MULRAJ GOKULDAS UDESHI,Promoters,Equity Shares,113448,0.38,,45448,0,Sell,Equity Shares,68000,0.23,06-Jun-24,06-Jun-24,07-Jun-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,10-06-2024 19:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165489_1155723_10062024070008_WEB.xml
JAYAGROGN,Jayant Agro Organics Limited,7(2),MALTI MULRAJ UDESHI,Promoter Group,Equity Shares,80000,0.27,,45448,0,Buy,Equity Shares,125448,0.42,06-Jun-24,06-Jun-24,07-Jun-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,10-06-2024 19:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165489_1155723_10062024070008_WEB.xml
KPIGREEN,KPI Green Energy Limited,7(2),SALIM SULEMAN YAHOO,Key Managerial Personnel,Equity Shares,2400,0,,250,446738,Buy,Equity Shares,2650,0,07-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,BSE,-,10-06-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165485_1155712_10062024064809_WEB.xml
KPIGREEN,KPI Green Energy Limited,7(2),SALIM SULEMAN YAHOO,Key Managerial Personnel,Equity Shares,2650,0,,250,446980,Buy,Equity Shares,2900,0,07-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165485_1155712_10062024064809_WEB.xml
WIPRO,Wipro Limited,7(3),Thierry Delaporte,-,ADR/GDR/FCCB,Nil,0,,989130,452389288,Buy,ADR/GDR/FCCB,989130,0.02,08-Jun-24,08-Jun-24,08-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 18:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165484_1155707_10062024064641_WEB.xml
WIPRO,Wipro Limited,7(3),Thierry Delaporte,-,ADR/GDR/FCCB,989130,0.02,,519800,225025069,Sell,ADR/GDR/FCCB,469330,0.01,08-Jun-24,08-Jun-24,08-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 18:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165484_1155707_10062024064641_WEB.xml
HFCL,HFCL Limited,7(2),HFCL Employees Trust,Other,Equity Shares,918800,0.06,,24000,495600,Sell,Equity Shares,894800,0.06,07-Jun-24,07-Jun-24,10-Jun-20,Off Market,-,-,0,0,0,0,NA,-,10-06-2024 18:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165483_1155704_10062024064426_WEB.xml
AFFLE,Affle (India) Limited,7(2),Affle (India) Limited Employees Welfare Trust,Other,Equity Shares,82763,0.06,,1340,1632886,Sell,Equity Shares,81423,0.06,10-Jun-24,10-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165479_1155681_10062024062448_WEB.xml
FSL,Firstsource Solutions Limited,7(2),Firstsource Employee Benefit Trust,Other,Equity Shares,9170634,1.32,,142946,28017416,Buy,Equity Shares,9313580,1.34,07-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 18:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165477_1155676_10062024062328_WEB.xml
CCL,CCL Products (India) Limited,7(2),Praveen Jaipuriar,Key Managerial Personnel,Equity Shares,116221,0.09,,2000,1213276,Sell,Equity Shares,114221,0.09,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:17,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165475_1155666_10062024061745_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8599515,0.35,,157,143166,Sell,Equity Shares,8599358,0.35,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,8599786,0.35,,271,247121,Sell,Equity Shares,8599515,0.35,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,8603764,0.35,,3978,3627482,Sell,Equity Shares,8599786,0.35,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8603851,0.35,,87,76836,Sell,Equity Shares,8603764,0.35,06-Jun-24,06-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml
SONATSOFTW,Sonata Software Limited,7(2),BALAJI KUMAR,-,Equity Shares,20000,0,,20000,4941400,Buy,Equity Shares,40000,0,06-Jun-24,06-Jun-24,07-Jun-24,ESOP,-,-,0,0,0,0,NSE,-,10-06-2024 17:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165471_1155652_10062024055846_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Puneet Verma,Employees/Designated Employees,Equity Shares,1912,0,,500,2993492,Sell,Equity Shares,1412,0,06-Jun-24,06-Jun-24,08-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 17:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165470_1155650_10062024055823_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Pallavi Belagavi,Employees/Designated Employees,Equity Shares,3039,0,,400,2422029,Sell,Equity Shares,2639,0,06-Jun-24,06-Jun-24,07-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 17:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165470_1155650_10062024055823_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,717779,1.46,,3004,6949353,Buy,Equity Shares,720783,1.47,07-Jun-24,07-Jun-24,10-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,10-06-2024 17:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165467_1155642_10062024055507_WEB.xml
JINDALSAW,Jindal Saw Limited,7(2),Samruddhi Employees Trust,-,Equity Shares,1553606,0.48,,13996,999314,Sell,Equity Shares,1539610,0.47,04-Jun-24,04-Jun-24,06-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml
JINDALSAW,Jindal Saw Limited,7(2),Kailash Chand Gupta,-,Equity Shares,Nil,0,,2601,1398817,Buy,Equity Shares,2601,0,07-Jun-24,07-Jun-24,10-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml
JINDALSAW,Jindal Saw Limited,7(2),Samruddhi Employees Trust,-,Equity Shares,1539610,0.47,,17674,1261923,Sell,Equity Shares,1521936,0.47,06-Jun-24,07-Jun-24,10-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml
JINDALSAW,Jindal Saw Limited,7(2),Narendra Mantri,Key Managerial Personnel,Equity Shares,Nil,0,,15073,8106259,Buy,Equity Shares,15073,0,06-Jun-24,06-Jun-24,10-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml
JINDALSAW,Jindal Saw Limited,7(2),Sanjiv Dheer,-,Equity Shares,86,0,,13996,7695000,Buy,Equity Shares,14082,0,04-Jun-24,04-Jun-24,06-Jun-24,ESOP,-,-,0,0,0,0,NA,-,10-06-2024 17:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,7(2),Krishak Bharati Cooperative Limited (KRIBHCO),Promoters,Equity Shares,9662726,1.62,,1000000,11300000,Sell,Equity Shares,8662726,1.45,07-Jun-24,07-Jun-24,10-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,10-06-2024 16:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165462_1155571_10062024044148_WEB.xml
