Name,NSE Symbol,BSE Code,_id,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,Strength Vs Nifty 500 Monthly,SMA 20D,EV To EBITDA,Fixed Assets 3 Years Back,52WH Distance,52WL,Strength Vs Nifty 500 Weekly,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Fixed Assets Latest Year
Suratwwala Business Group Ltd,SBGLP,543218,SBGLP,1997,115.15,Construction - Factories / Offices / Commercial,Realty,81.7,31,-17.7,-19.7,-26.8,34.5,-3.8,-10.6,-9.72,49,12,121,54.8,null,16.3,34.01,58,0.65,null,0,0.08,73.4,-1.39,40.6,-2.19,1.25
Surya Roshni Ltd,SURYAROSNI,500336,SURYAROSNI,7554,694.2,Steel - Large,Steel,20.8,0.97,-2.55,-2.69,-11,3.49,9.43,6.07,11.6,39.2,19,669,11.1,1029,17.5,484.85,0,0.01,0.54,0.99,-0.39,63,0,21.3,-4.51,835
Suryoday Small Finance Bank Ltd,SURYODAY,543279,SURYODAY,2001,188.37,Banks - Private Sector,Banks,8.41,1.16,36.4,102,15.2,1.06,3.32,0.71,-6.36,12.9,-3,191,11.5,35,13.5,154.75,-16,0,3.08,-6.03,1.34,22.4,-0.91,2.13,106,152
Sustainable Energy Infra Trust,SEITINVIT,null,SEITINVIT,3499,108,Power Generation And Supply,Infrastructure Investment Trusts,47.6,null,null,null,29.1,1.07,null,null,null,1.41,null,null,24.3,null,0,100,null,1.03,null,null,null,61.4,null,1.64,null,null
Sutlej Textiles and Industries Ltd,SUTLEJTEX,532782,SUTLEJTEX,1228,74.94,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg,Textiles,null,0.46,-9.41,-201,55.4,1.28,9.53,14.8,28.8,41.5,0,71.2,-1822,1199,3.05,51,0,0.88,0.95,0,-0.03,64,0,-7.63,-359,1057
Suven Life Sciences Ltd,SUVEN,530239,SUVEN,3591,164.66,Miscellaneous - Medium / Small,Healthcare,null,403,-35.4,13.5,-5.65,13.3,6.77,15.7,66.3,62.1,7,150,-30.3,21,0.81,63.55,36,0,0.04,1.09,-0.02,70.3,0.7,-39.1,7.14,28.2
Suven Pharmaceuticals Ltd,SUVENPHAR,543064,SUVENPHAR,29978,1177.6,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,125,32.1,-30.8,-43.4,13.9,14.6,-2.35,17.3,63.7,90.4,2,1114,79.5,441,6.32,533.55,13,0.03,0.12,8.19,0.3,50.1,-9.9,19.5,-43.5,670
Suyog Gurbaxani Funicular Ropeways Ltd,null,543391,543391,439,176.65,Construction - Civil / Turnkey - Medium / Small,Construction,8832,6.96,251,2356,82.7,17.7,-3.99,4.93,28.9,44.8,13,175,29.7,79.8,10.8,66.55,37,5.51,10.7,0,0,64,-0.77,13.7,21.1,0.6
Suyog Telematics Ltd,SUYOG,537259,537259,1702,1596.1,Transmisson Line Towers / Equipment,Telecomm Equipment & Infra Services,25.1,9.78,16.8,44.1,7.44,5.7,-6.14,8.73,45.8,48.7,13,1622,14.4,126,10,647,59,0.5,0.24,0.08,4.69,47.3,-0.86,20.3,28.5,340
Suzlon Energy Ltd,SUZLON,532667,SUZLON,114598,84.7,Electric Equipment - Gensets / Turbines,Capital Goods - Electrical Equipment,125,16,21.1,55,19,29.3,13.9,5.94,71.2,115,15,77.9,94.4,1133,1.56,24.4,68,0.04,-2.04,3.26,13.7,13.3,-1.23,20.1,259,859
Swadeshi Polytex Ltd,null,503816,503816,403,103.4,Construction - Factories / Offices / Commercial,Realty,5.07,4.26,169,182,710,3.71,-4.08,-9.81,-26.7,-18.9,10,110,3.3,0.07,75,40.65,49,0,-0.05,0.04,0,68.1,1.69,89.2,171,4.97
Swan Energy Ltd,SWANENERGY,503310,SWANENERGY,19152,611,Diversified - Medium / Small,Diversified,52.2,3.58,170,433,382,3.34,-0.77,-10.2,-4.12,7.32,12,656,19.4,1868,21.9,289.9,58,0.55,2.18,11.9,-5.28,54,-10.1,8.34,399,3761
Swaraj Engines Ltd,SWARAJENG,500407,SWARAJENG,3928,3234.05,Engines,Capital Goods-Non Electrical Equipment,28.1,2.73,0.98,3.7,22.8,10.7,-4.06,10.9,15.7,47.1,1,3281,18.7,91.5,6.8,1977.95,9,0,0,0.37,0.36,52.1,0,50.1,3.3,75.4
Swaraj Suiting Ltd,SWARAJ,null,SWARAJ,512,281.25,Textiles - Spinning - Synthetic / Blended,Textiles,28.2,1.6,46.1,229,132,5,-5.3,-8,30.8,61.2,14,303,14.9,35.8,22.9,93,67,1.65,1.11,0,0,73.6,0.28,13.4,109,76.7
Swastika Investmart Ltd,null,530585,530585,278,938.1,Securities/Commodities Trading Services,Stock/ Commodity Brokers,16.5,2.12,47,189,47.5,3.89,10.6,18.3,14.7,77,12,862,1.58,7.54,3.09,294.95,55,0.17,0.65,0,0,63.3,-0.17,23.6,183,4.51
Swati Projects Ltd,null,543914,543914,200,198.45,NBFC-Others,Finance,236,132,2.7,-5.56,6.25,15.9,-5,2.29,6.07,308,null,205,224,null,11.3,25.83,null,0,null,0,0,23.9,0,5.64,-5.56,0.19
Swelect Energy Systems Ltd,SWELECTES,532051,SWELECTES,1922,1268,Electric Equipment - General - Medium / Small,Capital Goods - Electrical Equipment,94.6,6.39,-8.79,173,-81.7,2.3,7.49,24.1,3.62,41.2,13,1102,14.1,440,15.1,509.75,62,0.68,0.48,0.2,0.09,56.4,0,5.55,-33.1,685
Swiss Military Consumer Goods Ltd,null,523558,523558,899,38.12,Trading - Medium / Small,Trading,109,4.63,33.8,34.2,-27,7.36,31.1,32.4,61,86.9,7,31,80.2,null,10.3,15.29,34,0,null,0,0.05,63.9,0,15.4,33.8,1.42
Symphony Ltd,SYMPHONY,517385,SYMPHONY,10068,1460.1,Domestic Appliances - White Goods,Consumer Durables,47.6,7.27,19.3,91,83.3,13.4,-4.18,-13.5,15.6,76.3,0,1557,34.8,354,16.5,831.95,6,0.23,0.29,0.12,1.2,73.4,0,20.8,80.1,327
Syncom Formulations (India) Ltd,SYNCOMF,524470,SYNCOMF,2345,24.95,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,83.2,8.06,24.9,38.3,3.11,8.13,-6.8,60.7,98.3,104,9,21.9,51.7,45.8,10.7,8.33,37,0.25,0.05,0,0.09,50.6,0,10.6,37.2,43.4
Synergy Green Industries Ltd,SGIL,541929,SGIL,640,412,Castings - Steel / Alloy,"Castings, Forgings & Fastners",53.2,1.99,-0.31,134,-9.23,6.91,-4.34,11.5,26.8,32.9,14,402,17.6,62.7,13.6,208.81,59,1.71,2.3,-1.04,-2.25,74,0,22.9,139,78.6
Syngene International Ltd,SYNGENE,539268,SYNGENE,37766,938.2,Miscellaneous - Large,Healthcare,79.5,10.9,3.4,1.65,-59.9,8.85,4.91,12.9,32.7,39.3,-6,876,34.5,2163,0.75,668.75,-29,0.13,0.32,5.59,-2.56,54.7,-0.08,13.2,-7.37,2809
Syrma SGS Technology Ltd,SYRMA,543573,SYRMA,8043,452.9,Electronics - Others,Electronics,81.2,2.17,64.2,-13.4,-55,4.99,7.02,10.1,-2.77,-10.7,-3,438,34.5,292,35.8,403,-17,0.39,0.17,-2.77,1.17,46.9,-0.38,9.01,-20.4,1075
Systango Technologies Ltd,SYSTANGO,null,SYSTANGO,394,268.9,Computers - Software - Medium / Small,IT - Software,23.4,6.96,8.22,20.7,7.86,5.04,8.73,11.7,13.9,-14.2,-2,248,17.5,0.93,34,220.9,-16,0,0,null,null,72,null,26.9,25.6,2.57
Systematix Corporate Services Ltd,null,526506,526506,2082,1604.3,Finance - Small,Finance,41.1,13.9,125,3258,-92.5,13.7,5.2,35,50.2,121,12,1509,27.4,6.44,4.96,362.15,54,0.14,0.46,0,0.16,74.2,0.08,39.2,3130,16.7
T T Ltd,TTL,514142,TTL,262,122.02,Textiles - Hosiery / Knitwear,Textiles,null,1.36,-6.31,185,7.7,5.98,2.61,6.72,10.9,7.55,0,121,14.6,94.3,9.39,91.5,-4,1.8,3.73,0,-0.06,58.7,0.01,8.19,17.3,39.7
TAAL Enterprises Ltd,null,539956,539956,946,3035.5,Transport - Airlines,Air Transport Service,24.1,5.06,8.72,22,7.49,5.83,5.24,0.66,1.95,21.7,0,3043,14.2,0.62,15,2059.8,14,0.04,0,0.16,-0.04,51,-0.12,30.8,15.4,10.2
TAC Infosec Ltd,TAC,null,TAC,844,805.4,Computers - Software - Medium / Small,IT - Software,133,72.8,null,null,126,19.1,2.7,40.9,38.8,null,null,786,120,null,10.5,274.85,null,0.12,null,null,null,78,null,41.2,null,0.79
TARC Ltd,TARC,543249,TARC,7017,237.8,Construction - Factories / Offices / Commercial,Realty,null,124,-83,-732,40.7,5.5,2.58,6.84,22.6,78.1,16,230,576,630,4.88,86,75,1.09,0.84,1.59,0.74,65,0,1.87,-499,660
TBI Corn Ltd,TBI,null,TBI,380,209,Food - Processing - Others,FMCG,37.6,2.41,37.4,61.9,-48.6,4.33,-7.52,-21.7,-21.2,null,null,246,23.8,null,47.7,207.9,null,1.07,null,null,null,56.5,null,20.2,58.2,6.9
TBO Tek Ltd,TBOTEK,544174,TBOTEK,19028,1752.35,Travel Agencies,E-Commerce/App based Aggregator,88.5,13,null,null,31.3,20.1,-1.31,11.2,9.07,null,null,1761,61.8,22.7,12.4,1415.45,null,0.39,0.04,null,null,44.4,null,29.3,null,349
TCC Concept Ltd,null,512038,512038,1365,600.6,Construction - Factories / Offices / Commercial,Realty,66.3,16.7,1513,557,12.9,6.07,-3.13,-11.7,5.85,41.6,null,640,35.8,null,24.7,60.64,7,0.02,null,3.63,0.02,61.5,-7.59,12.3,533,136
TCI Express Ltd,TCIEXP,540212,TCIEXP,4287,1117.05,Transport - Road,Logistics,35.2,3.45,null,null,-29.4,6.1,-1.14,6.8,-5.9,9.75,-21,1109,22.8,null,26.7,1011.5,-97,0.01,null,0.04,-0.7,69.6,-0.06,24.6,null,452
TCNS Clothing Co Ltd(Merged),TCNSBRANDS,541700,TCNSBRANDS,3697,583.95,Textiles - Others,Textiles,null,4.01,-21.1,-446,6.07,12.2,null,3.27,5.44,66.9,null,569,-21.2,352,5.65,341.85,null,2,0.55,-0.41,-7.74,52,20.5,-32.4,-379,520
TCPL Packaging Ltd,TCPLPACK,523301,TCPLPACK,3020,3318.8,Packaging - Others,Packaging,27.7,1.95,5.16,-2.68,9.27,5.74,0.66,9.56,50.1,45,32,3313,12.9,448,5.85,1999.9,15,0.96,1.07,5.21,0.17,55.7,0,18.2,6.67,696
TD Power Systems Ltd,TDPOWERSYS,533553,TDPOWERSYS,6620,423.85,Electric Equipment - Gensets / Turbines,Capital Goods - Electrical Equipment,52.1,6.28,18.7,24.5,21.8,9.4,3.57,0.47,15.4,59.3,37,425,32.9,174,6.02,243.9,179,0,0.11,15.8,12.2,34.3,-24.2,23,24.8,186
TGV Sraac Ltd,null,507753,507753,1048,97.88,Chlor-Alkali,Chemicals,44.5,0.69,-29.6,-76.6,91.2,0.96,3.16,0.86,9.19,11.3,-13,97.8,7.15,774,26.3,80.45,-59,0.29,0.77,0,-0.72,63.2,0,4.5,-88.9,1048
TIL Ltd,TIL,505196,TIL,2375,356.55,Engineering - Heavy - Material Handling,Capital Goods-Non Electrical Equipment,null,18.3,308,477,-101,29.5,-6.17,-4.18,37.9,150,13,392,11.6,120,18.1,76.35,61,5.44,1.63,-7.05,-0.03,68.4,12.1,-39.8,19.6,104
TPL Plastech Ltd,TPLPLASTEH,526582,TPLPLASTEH,877,112.45,Packaging - Plastic Containers,Packaging,42.4,2.81,43.8,74.8,-26.2,6.73,2.04,3,22.7,103,19,114,23.6,65.7,17.3,39.9,48,0.23,0.42,0,0.07,74.9,0,19.2,63.3,83.8
TRF Ltd,TRF,505854,TRF,572,519.4,Engineering - Heavy - Material Handling,Capital Goods-Non Electrical Equipment,15.5,4,-13.9,-60.7,-20.8,-1.49,3.05,9.57,-16.7,22.2,10,533,11.4,20,22.4,233.35,48,3.06,-0.99,0,-2.56,34.1,0,34.5,-44.3,19.4
TTK Healthcare Ltd,TTKHLTCARE,507747,TTKHLTCARE,2465,1744.35,Diversified - Medium / Small,Diversified,38.8,3.25,3.27,44.6,72.9,2.47,-5.36,9.52,18.9,17.3,0,1679,14.3,85.3,7.9,1135.15,1,0.02,0.06,-2.14,-0.53,74.6,0,8.49,13.3,74.8
TTK Prestige Ltd,TTKPRESTIG,517506,TTKPRESTIG,12457,898.65,Domestic Appliances - Cookers / Others,Consumer Durables,56.2,4.65,-2.12,-11.7,-29,5.99,-0.08,-5.43,19.5,28.9,-22,931,32.6,573,12.3,679,-98,0.09,0.06,0.57,-0.53,70.4,0,13.9,-12.6,722
TV Today Network Ltd,TVTODAY,532515,TVTODAY,1490,249.75,Entertainment - Electronic Media,Media - Print/Television/Radio,14.6,1.43,17.9,59.7,348,1.72,-7.16,-6.32,7.5,15.6,-27,268,7.19,222,18.9,203,-122,0.04,0.02,-1.62,0.07,58.5,0,8.92,46.2,191
TV18 Broadcast Ltd,TV18BRDCST,532800,TV18BRDCST,8510,49.64,Entertainment - Electronic Media,Entertainment,null,0.96,13.4,-338,12.5,0.5,3.31,8.22,12.9,1.51,-3,49.1,73.1,2360,27.7,40.85,-16,0.36,0.39,-1.08,-1.11,60.4,0,0.12,-514,2454
TVS Electronics Ltd,TVSELECT,532513,TVSELECT,766,410.6,Computers - Peripherals / Accessories,IT - Hardware,null,1.98,8.71,-122,-321,7.75,-4.69,18.8,25.4,56.2,-8,429,61.1,29.4,16.2,260.8,-37,0.41,0.08,0,0,59.9,0,0.92,-127,56.6
TVS Holdings Ltd,TVSHLTD,520056,TVSHLTD,28826,14247.5,NBFC-Holding Companies,Finance,31.9,0.7,15.6,36.5,3.7,10.1,1.8,5.7,18.9,70.1,12,14006,8.53,4713,4.95,5338.85,57,9.24,2.11,-1.9,1.57,74.5,0,15.2,39,5489
TVS Motor Company Ltd,TVSMOTOR,532343,TVSMOTOR,135008,2841.75,Automobiles - Motorcycles / Mopeds,Automobile,78.9,3.33,20.1,25.3,17.8,19.9,2.77,9.29,13.5,37.5,27,2760,27.2,4083,0.64,1498.5,121,1.97,2.28,-3.28,2.92,50.3,0,14.1,32.1,5753
TVS Srichakra Ltd,TVSSRICHAK,509243,TVSSRICHAK,3390,4427.15,Tyres - Large,Tyres,34.3,1.12,2.2,-7.52,-72,3.05,0.98,0.61,1.47,9.12,23,4564,14.9,641,13.1,3027.55,17,0.76,0.25,4.52,0,45.7,0,9.65,4.51,1059
TVS Supply Chain Solutions Ltd,TVSSCS,543965,TVSSCS,9032,205.03,Transport - Road,Logistics,null,0.96,-2.22,18,38.8,4.98,0.53,8.26,17.4,36.1,null,200,14.7,1987,11.3,156.8,-1,1.21,5.15,null,null,43.1,null,4.79,-63.7,2350
Tahmar Enterprises Ltd,null,516032,516032,261,27.49,Trading - Medium / Small,Trading,null,35.4,14660,100,-26.3,3.92,0.81,0.48,94.8,875,33,28.9,561,0,15.8,2.34,54,0.2,-3.13,0,0,75,0.73,0.07,112,0.22
Tainwala Chemicals & Plastics (India) Ltd,TAINWALCHM,507785,TAINWALCHM,211,225.2,Plastics - Sheets,Plastic products,39.5,16.1,-25.1,57.5,280,1.79,9,10.1,29.3,75.7,3,208,33,2.72,5.84,122.55,13,0,0,0,0,67.4,0.4,4.72,56.2,3.16
TajGVK Hotels & Resorts Ltd,TAJGVK,532390,TAJGVK,1990,317.35,Hotels - Medium,Hotels & Restaurants,21.3,4.87,4.87,-4.15,-50.8,3.63,1.03,2.74,-8.43,-2.86,-1,326,15.4,423,24.9,220.35,0,0.2,0.61,-1.6,-0.11,75,0,17.8,-5.26,442
Take Solutions Ltd,TAKE,532890,TAKE,269,18.16,Miscellaneous - Medium / Small,Miscellaneous,null,4.1,-65.3,-20,-5069,-30.8,-1.2,-3.97,-17.6,-16.3,-3,18.7,-2.92,934,49.3,18.39,-19,-4.18,0.4,0,-0.13,53.4,0,-70.1,35.1,30.2
Talbros Automotive Components Ltd,TALBROAUTO,505160,TALBROAUTO,2056,333,Auto Ancillaries - Others,Auto Ancillaries,24.7,2.57,18.2,84.9,-58.6,3.83,1.46,-4.12,5.63,32.3,15,345,11.3,147,15.9,190.2,71,0.18,0.42,0.01,0.54,58.4,0.02,18.4,44.8,210
Talbros Engineering Ltd,null,538987,538987,328,646.65,Auto Ancillaries - Axles / Shafts,Auto Ancillaries,18.2,0.8,-4.2,-25.6,7.27,2.42,-0.96,-4.29,9.81,13.1,-5,676,10.4,75,24.9,561,-31,0.83,1.06,0,0,72.4,-0.45,13.6,-25.4,120
Tamil Nadu Newsprint & Papers Ltd,TNPL,531426,TNPL,1513,218.63,Paper - Large,Paper,14.9,0.34,-14.4,-77.9,-33.6,0.72,-0.48,-4.36,-21.5,-15,-6,225,4.86,3510,33.9,220.5,-32,0.86,1.71,2.86,1.04,35.3,0,14.1,-77.7,4299
Tamil Nadu Petro Products Ltd,TNPETRO,500777,TNPETRO,874,97.1,Petrochemicals - Others,Petrochemicals,15.5,0.52,-17.8,-38.5,22.5,1.02,1.43,3.95,6.9,18.6,-27,98.3,4.97,281,14.8,81.35,-120,0.02,0.09,0,-1.77,34.5,0,9.77,-34.2,304
Tamilnad Mercantile Bank Ltd,TMB,543596,TMB,7586,479.05,Banks - Private Sector,Banks,6.91,1.53,17.4,3.98,13.5,0.92,0.29,6.22,2.18,3.51,-8,471,12.9,137,20.2,452.4,-45,0,8.95,-1.26,3.6,0,0,1.73,1.48,271
Taneja Aerospace & Aviation Ltd,null,522229,522229,1285,503.95,Miscellaneous - Medium / Small,Aerospace & Defence,115,40.3,-4.2,-11.1,37.3,9.86,-6.85,-14.6,-16.9,30.3,14,557,68,101,29,221,66,0,0.08,0.09,-0.4,52.2,0.98,11.7,-14.7,101
Tanfac Industries Ltd,null,506854,506854,2137,2142.75,Aluminium Chemicals,Chemicals,47.1,5.82,-7.79,-30.7,-10.9,9.28,-0.15,0.11,10.5,10.2,-3,2185,31.3,40.1,22.9,1793.3,-18,0,0,0.13,0,51.8,0,30.7,-31.2,60.6
Tanla Platforms Ltd,TANLA,532790,TANLA,12754,947.75,Computers - Software - Medium / Small,IT - Software,23,3.17,16,14.7,8.44,6.58,2.12,4.57,-2.06,10.7,-4,936,15.5,257,24.1,843.5,-19,0.04,0,0.37,-0.01,44.2,-0.02,34.2,12.4,702
Tantia Constructions Ltd,TCLCONS,532738,TCLCONS,645,41.62,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,9.48,15.5,-55.6,74.5,-98.1,1.61,5.05,5.77,-7.39,11.7,12,41.5,21.2,20.9,31.8,18.75,53,0.16,0.32,0,0,94.4,35.8,4.93,-83,8.23
Tara Chand Infralogistic Solutions Ltd,TARACHAND,null,TARACHAND,617,398.75,Diversified - Medium / Small,Diversified,36.6,3.45,21.8,53.6,-27.9,6.43,-2.11,-5.51,-16,159,24,431,11.6,139,23.9,105,104,0.9,1.92,0,0,69.6,-5.09,12.1,75.2,180
Tarsons Products Ltd,TARSONS,543399,TARSONS,2343,440.45,Analytical Laboratory Equipment,Miscellaneous,54.9,6.77,27.2,-30.8,-61,3.83,-2.04,4.09,-11.6,9.93,-18,452,18.9,null,23.3,401.7,-82,0.44,null,-7.27,-0.69,47.3,0,7.82,-28,336
Tasty Bite Eatables Ltd,TASTYBITE,519091,TASTYBITE,3433,13377.55,Food - Processing - Others,FMCG,209,7.29,-7.65,-62.3,-245,12,0.1,24.7,20.6,7.04,-4,13712,60.3,179,23.9,9600,-23,0.3,0.84,-0.15,0.5,74.2,0,16.8,-62.6,238
Tata Chemicals Ltd,TATACHEM,500770,TATACHEM,26539,1041.75,Chemicals - Inorganic - Large,Chemicals,35.2,1.77,-11.9,-98.4,123,1.19,-0.98,-0.06,-5.8,-7.71,-12,1068,16.7,15206,22.8,947.1,-61,0.25,0.46,0.02,-0.7,38,0,7.86,-59.5,17809
Tata Communications Ltd,TATACOMM,500483,TATACOMM,58354,2047.5,Telecommunications - Service Provider,Telecomm-Service,70.8,2.67,19.3,-43.6,4.5,32.7,6.32,9.81,9.59,5.82,-2,1958,16.1,11126,1.78,1571.65,-15,6.3,79.3,-0.48,0.91,58.9,0,13.1,-31.6,13082
Tata Consultancy Services Ltd,TCS,532540,TCS,1632933,4513.25,Computers - Software - Large,IT - Software,34.2,6.69,5.19,7.24,-3.18,18.1,1.43,2.2,17.8,6.97,-10,4502,23.6,21021,1.72,3347.45,-48,0.09,0.09,1.79,-0.1,71.8,-0.53,62.7,8.59,19604
Tata Consumer Products Ltd,TATACONSUM,500800,TATACONSUM,120559,1218.5,Tea - Indian - Large,Plantation & Plantation Products,90.3,7.62,11.4,-12,17.3,6.31,2.22,2.59,10.9,1.77,1,1199,52.6,11990,2.79,858.58,8,0.22,0.1,3.48,-1.27,33.6,-0.89,10.1,15.5,19143
Tata Elxsi Ltd,TATAELXSI,500408,TATAELXSI,47885,7688.75,Computers - Software - Medium / Small,IT - Software,61,13.2,11,3.82,-6.53,19.1,-1.92,13.1,5.79,-0.24,-7,7702,39.8,170,16.4,6834.4,-33,0.09,0.05,2.17,-0.55,43.9,0,39.2,9.92,396
Tata Investment Corporation Ltd,TATAINVEST,501301,TATAINVEST,34796,6877.35,NBFC-Others,Finance,94.2,93,14.4,18.7,117,1.16,-1.7,14.1,2.17,-8.91,37,6899,84.5,14.1,29.5,2512,51,0,0,0.04,1.18,73.4,0,1.39,25.4,14.2
Tata Motors Ltd,TATAMOTORS,500570,TATAMOTORS,363819,988.4,Automobiles - LCVs/HCVs,Automobile,10.7,0.83,18.1,218,-67.5,5.02,-4.84,-10,-0.5,4.5,16,1060,6.22,138708,16.2,620.8,75,1.26,2.5,-3.21,-0.28,41.9,-4.51,18.2,169,121285
Tata Power Company Ltd,TATAPOWER,500400,TATAPOWER,141665,443.35,Power Generation And Supply,Power Generation & Distribution,38.6,2.23,13.8,6.42,13.7,4.39,6.1,7.18,-1.18,16.4,9,429,13.1,52179,5.87,235.35,43,1.66,1.85,0.91,-0.24,46.9,0,10.4,94.4,67210
Tata Steel BSL Ltd(Merged),TATASTLBSL,null,TATASTLBSL,9333,85.35,Steel - Large,Steel,1.31,0.34,65.9,988,-25.9,0.37,null,null,null,null,null,87.8,1.47,30362,22.2,29,null,0.22,-0.56,-4.72,1.48,72.7,0,26.7,990,28639
Tata Steel Ltd,TATASTEEL,500470,TATASTEEL,192508,154.21,Steel - Large,Steel,96.4,0.86,-6.24,-610,65.6,2.13,3.17,3.14,-15.8,8.83,-1,152,16,135775,16.5,118.55,-7,0.95,1.06,4.05,0.04,33.2,-0.71,7.57,-9.68,148814
Tata Technologies Ltd,TATATECH,544028,TATATECH,44407,1094.65,Computers - Software - Medium / Small,IT - Software,68.4,8.66,null,null,3.05,15.5,1.59,9.57,5.49,4.29,null,1065,42.3,1090,21.8,985.5,null,0.08,0.12,null,null,55.4,null,27.3,null,1151
Tata Teleservices (Maharashtra) Ltd,TTML,532371,TTML,17800,91.05,Telecommunications - Service Provider,Telecomm-Service,null,14.5,9.33,-8.69,-4.55,-0.68,-0.21,2.01,15.5,15.2,-5,93.9,68.4,830,18.3,72.6,-24,-1.04,-0.71,0.02,0.34,74.4,0,48.7,-9.16,788
Tatva Chintan Pharma Chem Ltd,TATVA,543321,TATVA,2280,974.8,Chemicals - Speciality - Medium / Small,Chemicals,87.8,5.92,-14.4,-42.3,-45.8,3.09,0.99,1.13,-4.45,-16.6,-22,986,33.6,120,41.1,969.95,-98,0.02,0.54,-0.44,0.17,72,-7.15,6.67,-23.1,427
Taylormade Renewables Ltd,null,541228,541228,531,478.7,Electric Equipment - Gensets / Turbines,Capital Goods - Electrical Equipment,50.1,11.3,137,438,-68.2,10.8,14.2,-2.98,-1.25,-4.8,-2,457,31.7,1.45,44.1,402.05,-8,0.11,0.23,0,0,61.8,1.54,22.4,442,3.46
Team Lease Services Ltd,TEAMLEASE,539658,TEAMLEASE,5183,3090.75,Miscellaneous - Large,Miscellaneous,50.2,0.53,19.2,-4.5,-31.1,6.49,-1.57,-0.14,7.42,9.68,0,3154,28,255,16.5,2367.9,-3,0.13,0.03,4.03,-4.16,31.6,0,12.3,-5.22,293
Tech Mahindra Ltd,TECHM,532755,TECHM,161307,1649,Computers - Software - Large,IT - Software,64.2,3.11,-3.53,-42,30.2,6.04,4.42,4.02,20.2,28.6,0,1628,28.5,8929,1.26,1120,-6,0.1,0.11,3.8,-2.41,35,-0.11,12.3,-42.4,13832
TechNVision Ventures Ltd,null,501421,501421,2501,3986.2,Computers - Software - Medium / Small,IT - Software,111,11.7,44.6,430,-75.6,362,-7.2,15.9,45.5,195,9,4111,95.3,1.94,16.9,170,41,0.89,0,0,0,74.3,0,35.4,462,4.93
Techknowgreen Solutions Ltd,null,543991,543991,205,277,Miscellaneous - Medium / Small,Miscellaneous,33.4,8.76,null,null,-11.4,7.37,-2.46,-4.38,16,57.3,null,303,22.9,0.09,23.1,91.35,null,0,1.52,null,null,65.6,null,31.5,null,4.29
Techno Electric & Engineering Company Ltd,TECHNOE,542141,TECHNOE,18375,1580,Engineering - Turnkey Services,Infrastructure Developers & Operators,62,11.5,67.4,93.8,26.5,5.39,-2.72,-4.08,8.47,143,22,1642,44.6,467,12.1,501,101,0,0.02,-1.42,2.2,61.5,0,15.3,122,75.9
Technocraft Industries (India) Ltd,TIIL,532804,TIIL,7656,3334.15,Steel - Tubes / Pipes,Steel,28.7,3.41,12.2,-7.48,46.2,4.57,-1.51,-9.84,23.9,108,20,3534,17.4,386,15.2,1634,25,0.4,0.43,2.21,0.1,74.6,0,17.2,-3.61,726
Teerth Gopicon Ltd,TGL,null,TGL,734,611.85,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,63.5,6.99,169,582,137,11.5,-17.4,28.7,55.2,null,null,618,40.8,null,20.9,131.25,null,0.58,null,null,null,96.5,null,55.8,509,1.18
Tega Industries Ltd,TEGA,543413,TEGA,12246,1840.55,Engineering - Light - General - Large,Engineering,58.6,7.82,26.4,14.8,-58.9,10.3,7.19,9.55,11.6,56.8,17,1730,33.1,292,6.58,872.5,86,0.26,0.36,2.31,-0.8,74.8,-0.2,18.6,14.8,597
Tejas Networks Ltd,TEJASNET,540595,TEJASNET,21768,1271.45,Telecommunications - Equipment - Large,Telecomm Equipment & Infra Services,131,6.01,269,398,-47.2,6.91,-1.13,5.39,-6.76,77.9,4,1299,38.9,111,15,672,20,0.6,0.02,1.33,-0.72,55.5,-0.47,2.85,401,961
Tembo Global Industries Ltd,TEMBO,null,TEMBO,490,441.1,Trading - Medium / Small,Trading,27.6,1.02,72.3,156,105,9.35,8.94,79.4,92,60.1,0,342,16.2,6.73,1.62,218.09,1,0.76,0.67,0,-0.31,55.4,-0.02,20.7,133,22.1
Texmaco Infrastructure & Holdings Ltd,TEXINFRA,505400,TEXINFRA,1653,129.76,Construction - Factories / Offices / Commercial,Realty,309,101,-1.81,24.3,-84.1,1.12,-3.97,4.53,-6.74,39.6,10,134,225,71.6,14,68.95,49,0.02,0.05,4.48,-0.55,65.2,0,0.33,-9.38,76.4
Texmaco Rail & Engineering Ltd,TEXRAIL,533326,TEXRAIL,9024,225.9,Engineering - Heavy - General - Large,Capital Goods-Non Electrical Equipment,66.1,2.41,43.7,164,-29.8,3.61,0.58,-9.77,6.59,36.4,31,237,25.9,376,23.8,123,72,0.25,0.68,2.24,6.94,48.1,-10.6,9.12,203,433
